Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  
21   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.0831757E+00   3.8420719E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   3.5433902E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.6672764E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   3.6941426E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   3.4831598E+00   5.9751699E+00   8.3865610E+00   3.9250479E+00   3.0092509E+00   3.8376259E+00   2.8390869E+00   3.4276340E+00   3.8381163E+00  
22   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.0831757E+00   3.8420719E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   3.5433902E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.6672764E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.5060845E+00   3.6941426E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   9.8320213E+00   7.1751797E+00   3.4831598E+00   5.9751699E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.8390869E+00   3.4276340E+00   3.8381163E+00  
23   7.7582320E+00   6.0120400E+00   2.6496924E+00   3.7513515E+00   3.0831757E+00   3.8420719E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   3.5433902E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.6672764E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   3.6941426E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   5.4493069E+00   5.8164302E+00   3.4831598E+00   5.9751699E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.4276340E+00   3.8381163E+00  
24   7.7582320E+00   4.3523961E+00   2.6496924E+00   3.2875008E+00   3.0831757E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.5736993E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   3.6941426E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   5.4493069E+00   5.8164302E+00   3.4831598E+00   5.9751699E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.4276340E+00   3.8381163E+00  
25   7.7582320E+00   3.6966970E+00   2.6496924E+00   3.2875008E+00   2.9459287E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.5736993E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   2.2999327E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   5.4493069E+00   5.8164302E+00   3.4831598E+00   5.9751699E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.4276340E+00   3.8381163E+00  
26   7.5200637E+00   3.6966970E+00   2.6496924E+00   3.2875008E+00   2.9459287E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.5736993E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   2.2999327E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.5341043E+00   5.4493069E+00   5.8164302E+00   3.4831598E+00   4.0618557E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.4276340E+00   3.8381163E+00  
27   4.7627904E+00   3.2652494E+00   2.6496924E+00   3.2875008E+00   2.9459287E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.6368033E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   3.1598165E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   2.2999327E+00   3.2997523E+00   3.1890360E+00   2.7557688E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.1800336E+00   5.4493069E+00   4.6016777E+00   3.4589438E+00   4.0618557E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.4276340E+00   3.8381163E+00  
28   4.7627904E+00   3.2652494E+00   2.6496924E+00   3.2875008E+00   2.8591030E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.2572198E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   2.6711899E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   2.2999327E+00   3.2997523E+00   3.1890360E+00   2.6815632E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.1800336E+00   5.4493069E+00   4.6016777E+00   3.4589438E+00   4.0618557E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.2805222E+00   3.8381163E+00  
29   4.7627904E+00   3.2652494E+00   2.6496924E+00   3.2875008E+00   2.7241113E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.2572198E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   2.6711899E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   2.2999327E+00   3.2974999E+00   2.8355328E+00   2.6435084E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   3.0263573E+00   3.1800336E+00   5.4493069E+00   4.6016777E+00   3.4589438E+00   3.3740740E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.2044208E+00   3.8381163E+00  
30   4.7627904E+00   3.2652494E+00   2.6496924E+00   3.2875008E+00   2.7227953E+00   3.3602985E+00   3.1404589E+00   2.5718186E+00   3.2572198E+00   2.6411916E+00   3.2570726E+00   4.6445130E+00   3.3172374E+00   2.6379200E+00   2.6951762E+00   3.1239183E+00   3.7252525E+00   4.2367186E+00   3.0558299E+00   3.4391067E+00   2.2999327E+00   3.2244620E+00   2.8355328E+00   2.6435084E+00   1.0686258E+01   3.7854697E+00   3.5519600E+00   2.5357152E+00   3.1800336E+00   5.4493069E+00   4.4848609E+00   2.7669463E+00   3.3740740E+00   8.3865610E+00   2.9417763E+00   3.0092509E+00   3.8376259E+00   2.6884920E+00   3.2044208E+00   3.8381163E+00  
